block,range_m,radial_velocity_mps,angle_deg,doa_cluster_id,n_angle_bins
1203,12.744140625,1.4063400057603688,-39.0,0.0,3.0
1205,11.89453125,1.5145200062034743,-38.0,-1.0,1.0
1206,11.89453125,1.5145200062034743,-38.0,0.0,3.0
1207,11.89453125,1.5145200062034743,-39.0,0.0,3.0
1208,12.744140625,1.5145200062034743,-38.0,0.0,3.0
1210,12.744140625,1.5145200062034743,-41.0,0.0,3.0
1211,12.744140625,1.5145200062034743,-42.5,0.0,4.0
1217,13.02734375,1.5866400064988777,-46.5,-1.0,2.0
1218,13.02734375,1.658760006794281,-46.0,0.0,3.0
1219,13.59375,1.7308800070896846,-46.0,0.0,3.0
1226,14.16015625,1.5866400064988777,-51.0,0.0,3.0
1287,13.59375,-1.0818000044310527,-45.5,-1.0,2.0
1291,12.744140625,-1.2981600053172635,-42.0,-1.0,1.0
1303,12.744140625,-1.2981600053172635,-41.0,0.0,3.0
1304,12.744140625,-1.2981600053172635,-41.0,0.0,3.0
1312,11.89453125,-1.0818000044310527,-38.0,0.0,3.0
1313,11.89453125,-1.1358900046526055,-37.0,0.0,3.0
1314,11.611328125,-1.2260400050218596,-37.0,0.0,3.0
1315,11.5546875,-1.1683440047855371,-37.5,0.0,4.0
1317,11.89453125,-1.0818000044310527,-36.0,0.0,3.0
1319,11.044921875,-1.0818000044310527,-35.0,-1.0,1.0
1320,11.89453125,-1.0818000044310527,-35.0,0.0,3.0
1337,10.1953125,-0.6490800026586317,-25.0,0.0,3.0
1338,10.40771484375,-0.6220350025478554,-24.5,-1.0,2.0
1339,10.40771484375,-0.6220350025478554,-24.0,0.0,3.0
1340,10.1953125,-0.6490800026586317,-24.5,-1.0,2.0
1341,10.384114583333334,-0.5048400020678248,-24.0,0.0,3.0
1342,5.09765625,-4.759920019496633,-23.5,-1.0,2.0
1342,10.53515625,-0.5409000022155265,-24.0,0.0,3.0
1343,10.40771484375,-0.6220350025478554,-23.5,0.0,4.0
1344,10.1953125,-0.494537144882767,-23.0,0.0,3.0
1345,4.248046875,-4.976280020382843,-14.5,-1.0,2.0
1345,10.1953125,-0.494537144882767,-22.5,0.0,4.0
1346,10.438058035714286,-0.40181143021724824,-22.0,0.0,3.0
1347,10.438058035714286,-0.3090857155517294,-21.0,0.0,3.0
1348,10.1953125,-0.3245400013293159,-20.5,0.0,4.0
1349,10.680803571428571,-0.2472685724413835,-19.0,0.0,3.0
1350,2.548828125,-3.7863000155086857,4.0,0.0,3.0
1350,10.1953125,-0.3245400013293159,-18.0,0.0,3.0
1351,10.1953125,-0.3245400013293159,-17.5,0.0,4.0
1352,10.1953125,-0.2472685724413835,-17.0,0.0,3.0
1353,2.265625,-3.8223600156563875,17.5,-1.0,2.0
1353,10.1953125,-0.12981600053172634,-16.0,0.0,3.0
1354,10.1953125,-7.93016446160826e-18,-15.0,0.0,3.0
1355,1.69921875,-3.8944800159517907,32.5,0.0,4.0
1355,10.1953125,0.06181714311034587,-14.0,0.0,3.0
1356,0.0,3.6781200150655797,-39.0,0.0,3.0
1356,0.0,3.6781200150655797,39.0,1.0,3.0
1356,1.69921875,-3.6781200150655793,39.0,0.0,3.0
1356,10.1953125,-9.25185853854297e-18,-13.0,0.0,3.0
1357,0.849609375,0.0,-46.0,0.0,3.0
1357,0.849609375,0.0,46.0,1.0,3.0
1357,10.1953125,0.06181714311034587,-13.0,0.0,3.0
1358,10.1953125,0.12981600053172632,-11.5,0.0,4.0
1359,10.1953125,-0.7572600031017371,-11.0,0.0,3.0
1360,10.1953125,4.759920019496633,-10.0,0.0,3.0
1360,10.1953125,0.10818000044310529,-10.0,0.0,3.0
1361,9.912109375,0.03606000014770174,-9.0,0.0,3.0
1362,10.1953125,0.08654400035448423,-8.0,0.0,3.0
1363,11.044921875,6.058080024813897,-8.0,0.0,3.0
1363,9.912109375,-0.03606000014770178,-8.0,0.0,3.0
1364,10.1953125,0.9375600038402462,-7.0,0.0,3.0
1364,10.1953125,-1.0096800041356493,-7.0,0.0,3.0
1365,9.62890625,1.1539200047264566,-5.0,0.0,3.0
1366,9.62890625,-3.461760014179369,-5.5,0.0,4.0
1366,10.1953125,1.5145200062034743,-5.5,0.0,4.0
1367,10.1953125,-1.0818000044310527,-4.5,-1.0,2.0
1367,10.1953125,1.5145200062034743,-4.5,-1.0,2.0
1368,9.952566964285714,-0.9581657182103608,-2.5,0.0,4.0
1369,9.62890625,0.07212000029540351,-2.0,0.0,3.0
1370,10.1953125,-4.90416002008744,-2.0,0.0,3.0
1370,10.1953125,0.5949900024370791,-2.0,0.0,3.0
1371,10.1953125,-0.5769600023632284,-1.0,0.0,3.0
1372,9.62890625,-1.9472400079758951,-2.0,0.0,3.0
1372,10.1953125,1.0818000044310527,-2.0,0.0,3.0
1373,10.1953125,-3.1372200128500536,1.0,0.0,3.0
1373,10.1953125,1.0818000044310527,1.0,0.0,3.0
1374,9.85546875,-0.6490800026586319,1.0,0.0,3.0
1375,10.1953125,-0.10818000044310538,2.0,0.0,3.0
1375,10.1953125,-3.245400013293159,2.0,0.0,3.0
1376,10.1953125,2.488140010191422,1.5,0.0,4.0
1376,9.515625,-1.125072004608295,1.5,0.0,4.0
1378,9.62890625,0.07212000029540351,2.5,-1.0,2.0
1378,10.1953125,1.0818000044310527,2.5,-1.0,2.0
1379,9.98291015625,-0.2434050009969868,8.0,0.0,3.0
1380,10.1953125,3.245400013293159,3.0,0.0,3.0
1380,9.7705078125,-0.8113500033232897,3.0,0.0,3.0
1381,10.1953125,2.7045000110776325,4.5,-1.0,2.0
1381,10.1953125,-0.5409000022155265,4.5,-1.0,2.0
1382,10.1953125,-0.6490800026586319,4.0,0.0,3.0
1382,10.1953125,-0.38944800159517906,4.0,0.0,3.0
1383,10.1953125,-3.0290400124069485,5.0,-1.0,1.0
1383,10.1953125,-0.6490800026586317,5.0,-1.0,1.0
1387,10.1953125,-4.543560018610423,8.0,-1.0,1.0
1387,10.1953125,-0.05409000022155265,8.0,-1.0,1.0
1400,10.53515625,0.5409000022155264,11.0,0.0,3.0
1401,10.76171875,0.5288800021662925,12.5,-1.0,2.0
1402,10.384114583333334,0.5048400020678246,13.0,0.0,3.0
1406,10.1953125,0.6490800026586317,17.0,-1.0,1.0
1407,10.1953125,0.5949900024370791,17.0,-1.0,1.0
1408,10.6201171875,0.5949900024370791,17.0,0.0,3.0
1409,10.1953125,0.6490800026586316,17.0,-1.0,1.0
1410,10.53515625,0.778896003190358,17.0,-1.0,1.0
1411,10.680803571428571,0.8654400035448422,18.5,-1.0,2.0
